PAD 0001 ICeWall.tcl:1691          $str
PAD 0078 ICeWall.tcl:2326          Layer [get_footprint_pad_pin_layer] not defined in tehcnology
PAD 0079 ICeWall.tcl:2606          Footprint does not have the pads_per_pitch attribute specified
PAD 0080 ICeWall.tcl:3199          Attribute $corner not specified in pad_ring ($pad_ring)
PAD 0081 ICeWall.tcl:3209          Attribute $corner not specified in pad_ring ($pad_ring)
PAD 0082 ICeWall.tcl:3300          Type $type not specified in the set of library types
PAD 0083 ICeWall.tcl:3304          Cell $cell_ref of Type $type is not specified in the list of cells in the library
PAD 0084 ICeWall.tcl:3458          Type $type not specified in the set of library types
PAD 0085 ICeWall.tcl:3462          Cell $cell_ref of Type $type is not specified in the list of cells in the library
PAD 0086 ICeWall.tcl:3572          Type $type not specified in the set of library types
PAD 0087 ICeWall.tcl:3576          Cell $cell_ref of Type $type is not specified in the list of cells in the library
PAD 0091 ICeWall.tcl:3913          No signal $signal_name defined for padcell [dict get $padcell name]
PAD 0092 ICeWall.tcl:3911          No signal $signal_name or $try_signal defined for padcell [dict get $padcell name]
PAD 0093 ICeWall.tcl:3927          Signal "$signal_name" not found in design 
PAD 0094 ICeWall.tcl:3943          Value for -edge_name ($edge_name) not permitted, choose one of bottom, right, top or left
PAD 0095 ICeWall.tcl:3953          Value for -type ($type) does not match any library types ([dict keys [dict get $library types]])
PAD 0096 ICeWall.tcl:942           No cell $cell_type defined in library ([dict keys [dict get $library cells]])
PAD 0097 ICeWall.tcl:944           No entry found in library definition for cell $cell_type on $position side
PAD 0098 ICeWall.tcl:3956          No library types defined
PAD 0099 ICeWall.tcl:3997          Invalid orientation $orient, must be one of "$valid"
PAD 0100 ICeWall.tcl:4004          Incorrect number of arguments for location, expected an even number, got [llength $location] ($location)
PAD 0101 ICeWall.tcl:4007          Only one of centre or origin may be specified for -location ($location)
PAD 0102 ICeWall.tcl:4012          Incorrect value specified for -location centre ([dict get $location centre]), $msg
PAD 0103 ICeWall.tcl:4017          Incorrect value specified for -location origin ([dict get $location origin]), $msg
PAD 0104 ICeWall.tcl:4020          Require origin or centre not specified for -location ($location)
PAD 0105 ICeWall.tcl:4034          Specification of bondpads is only allowed for Wirebond padring layouts
PAD 0106 ICeWall.tcl:4043          Specification of bumps is only allowed for Flipchip padring layouts
PAD 0107 ICeWall.tcl:4047          Bump value specified incorrectly, $msg
PAD 0109 ICeWall.tcl:4328          Incorrect number of arguments for add_pad - expected an even number, received [llength $args]
PAD 0110 ICeWall.tcl:4347          Must specify -type option if -name is not spedified
PAD 0111 ICeWall.tcl:4302          Unrecognized argument $arg, should be one of -pitch, -bump_pin_name, -spacing_to_edge, -cell_name, -bumps_per_tile, -rdl_layer, -rdl_width, -rdl_spacing
PAD 0112 ICeWall.tcl:4375          Padcell $padcell_duplicate already defined to use [dict get $padcell signal_name]
PAD 0113 ICeWall.tcl:4970          Type specified must be Flipchip or Wirebond
PAD 0114 ICeWall.tcl:422           No origin information specified for padcell $padcell $type $inst
PAD 0115 ICeWall.tcl:443           No origin information specified for padcell $padcell
PAD 0116 ICeWall.tcl:612           Side for padcell $padcell cannot be determined
PAD 0117 ICeWall.tcl:628           No orient entry for cell reference $cell_ref matching orientation $orient
PAD 0118 ICeWall.tcl:630           No orient attribute defined for cell reference $cell_ref ([dict get $library cells $cell_ref])
PAD 0119 ICeWall.tcl:633           No cell reference $cell_ref found in library data
PAD 0120 ICeWall.tcl:964           Padcell $padcell does not have any location information to derive orientation
PAD 0121 ICeWall.tcl:967           Padcell $padcell does not define orientation for $element
PAD 0122 ICeWall.tcl:4101          Cannot find an instance with name "$inst_name"
PAD 0123 ICeWall.tcl:4393          Attribute name not defined for padcell
PAD 0124 ICeWall.tcl:4423          Cell type $type does not exist in the set of library types
PAD 0125 ICeWall.tcl:4430          No type specified for padcell $padcell
PAD 0126 ICeWall.tcl:4436          Only one of centre or origin should be used to specify the locations of padcell $padcell
PAD 0127 ICeWall.tcl:4455          Cannot determine side for padcell $padcell, need to sepecify location of the padcell or the required edge for the padcell
PAD 0128 ICeWall.tcl:4462          No orientation for $cell_ref specified for side $side_name
PAD 0129 ICeWall.tcl:4480          Cannot determine cell name for $padcell_name from library element $cell_ref
PAD 0130 ICeWall.tcl:4486          Cell $cell_name not loaded into design
PAD 0131 ICeWall.tcl:4499          Orientation of padcell $padcell_name is $orient, which is different from the orientation expected for padcells on side $side_name ($side_from_orient)
PAD 0132 ICeWall.tcl:4505          No orientation information available for orientation of $cell_ref on side $side_name
PAD 0133 ICeWall.tcl:4518          Bondpad cell $bondpad_cell_ref not found in library definition
PAD 0134 ICeWall.tcl:4528          Unexpected value for orient attribute in library definition for $bondpad_cell_ref
PAD 0135 ICeWall.tcl:4532          Expected orientation ($expected_orient) of bondpad for padcell $padcell_name overridden with value [dict exists $padcell bondpad orient]
PAD 0136 ICeWall.tcl:4543          Unexpected value for orient attribute in library definition for $bondpad_cell_ref
PAD 0137 ICeWall.tcl:4547          No orientation information available for orientation of $cell_ref on side $side_name
PAD 0140 ICeWall.tcl:4417          Type [dict get $padcell type] (cell ref - $expected_cell_name) does not match specified cell_name ($cell_name) for padcell $padcell)
PAD 0141 ICeWall.tcl:1791          Signal name for padcell $padcell has not been set
PAD 0142 ICeWall.tcl:4164          Unexpected number of arguments for set_die_area
PAD 0143 ICeWall.tcl:4169          Unexpected number of arguments for set_die_area
PAD 0144 ICeWall.tcl:4190          Unexpected number of arguments for set_core_area
PAD 0145 ICeWall.tcl:4195          Unexpected number of arguments for set_core_area
PAD 0146 ICeWall.tcl:4273          Layer $layer_name is not a valid layer for this technology
PAD 0147 ICeWall.tcl:4249          The pad_inst_name value must be a format string with exactly 1 string substitution %s
PAD 0159 ICeWall.tcl:4473          Cell reference $cell_ref not found in library, setting cell_name to $cell_ref
PAD 0160 ICeWall.tcl:4259          The pad_pin_name value must be a format string with exactly 1 string substitution %s
PAD 0161 ICeWall.tcl:870           Position $position not defined for $cell_ref, expecting one of [join [dict keys [dict get $library cells $cell_ref cell_name]] {, }]
PAD 0162 ICeWall.tcl:2615          Required setting for num_pads_per_tile not found
PAD 0163 ICeWall.tcl:4573          The padcell x location is [expr 1.0 * [dict get $padcell cell scaled_centre x] / $def_units], but for bump $row,$col to connect to a pad on the $side edge, $xMin <= x <= $xMax
PAD 0164 ICeWall.tcl:4576          The padcell y location is [expr 1.0 * [dict get $padcell cell scaled_centre y] / $def_units], but for bump $row,$col to connect to a pad on the $side edge, $yMin <= y <= $yMax
PAD 0165 ICeWall.tcl:4600          Attribute name not defined for cell
PAD 0166 ICeWall.tcl:4613          Type [dict get $cell_inst type] (cell ref - $expected_cell_name) does not match specified cell_name ($cell_name) for cell $name)
PAD 0167 ICeWall.tcl:4619          Cell type $type does not exist in the set of library types
PAD 0168 ICeWall.tcl:4626          No type specified for cell $name
PAD 0169 ICeWall.tcl:4632          Only one of centre or origin should be used to specify the location of cell $name
PAD 0170 ICeWall.tcl:4642          Cannot determine library cell name for cell $name
PAD 0171 ICeWall.tcl:4648          Cell $cell_name not loaded into design
PAD 0172 ICeWall.tcl:4653          No value specified for inst_name for cell $name
PAD 0173 ICeWall.tcl:4663          No orientation information available for $name
PAD 0174 ICeWall.tcl:4748          Unexpected keyword in cell name specification, $msg
PAD 0175 ICeWall.tcl:4759          Unexpected keyword in orient specification, $msg
PAD 0176 ICeWall.tcl:4779          Cannot find $cell_name in the database
PAD 0177 ICeWall.tcl:4783          Pin $pin_name does not exist on cell $cell_name
PAD 0178 ICeWall.tcl:4801          Incorrect number of arguments for add_pad - expected an even number, received [llength $args]
PAD 0179 ICeWall.tcl:4809          Must specify -name option for add_libcell
PAD 0180 ICeWall.tcl:4849          Library cell reference missing name attribute
PAD 0181 ICeWall.tcl:4865          Library cell reference $cell_ref_name missing type attribute
PAD 0182 ICeWall.tcl:4876          Type of $cell_ref_name ($type) clashes with existing setting for type ([dict get $library types $type])
PAD 0183 ICeWall.tcl:4903          No specification found for which cell names to use on each side
PAD 0184 ICeWall.tcl:4913          No specification found for the orientation of cells on each side
PAD 0185 ICeWall.tcl:4933          No specification of the name of the external pin on cell_ref $cell_ref_name
PAD 0186 ICeWall.tcl:4950          No signals defined to be connect by abutment
PAD 0187 ICeWall.tcl:4954          Signal $break_signal not defined in the list of signals to connect by abutment
PAD 0188 place_cell.tcl:16         Invalid placement status $placement_status, must be one of either PLACED or FIRM
PAD 0189 place_cell.tcl:25         Cell $cell_name not loaded into design
PAD 0191 place_cell.tcl:40         Invalid orientation $orient specified, must be one of [join $valid_orientation {, }]
PAD 0192 place_cell.tcl:43         No orientation specified for $inst_name
PAD 0193 place_cell.tcl:50         Origin is $origin, but must be a list of 2 numbers
PAD 0194 place_cell.tcl:53         Invalid value specified for x value, [lindex $origin 0], $msg
PAD 0195 place_cell.tcl:56         Invalid value specified for y value, [lindex $origin 1], $msg
PAD 0196 place_cell.tcl:59         No origin specified for $inst_name
PAD 0197 place_cell.tcl:66         Instance $inst_name no in the design, -cell must be specified to create a new instance
PAD 0198 place_cell.tcl:71         Instance $inst_name expected to be $cell_name, but is actually [[$inst getMaster] getName]
PAD 0199 place_cell.tcl:77         Cannot create instance $inst_name of $cell_name
PAD 0200 ICeWall.tcl:4367          Unrecognized argument $arg, should be one of -name, -signal, -edge, -type, -cell, -location, -bump, -bondpad, -inst_name
PAD 0201 ICeWall.tcl:4827          Unrecognized argument $arg, should be one of -name, -type, -cell_name, -orient, -pad_pin_name, -break_signals, -physical_only
PAD 0202 ICeWall.tcl:4835          Padcell $padcell_duplicate already defined to use [dict get $padcell signal_name]
