DRT 0000 FlexDR_init.cpp:362       Error: initNetTerms unsupported obj
DRT 0050 FlexGC_main.cpp:2353       unsupported branch ENCLOSURE in checkLef58CutSpacing_spc_adjCut.
DRT 0051 FlexGC_main.cpp:2360       unsupported branch SIDEPARALLELOVERLAP in 
DRT 0052 FlexGC_main.cpp:2367       unsupported branch SAMEMASK in checkLef58CutSpacing_spc_adjCut.
DRT 0053 FlexGC_init.cpp:914       updateGCWorker cannot find frNet in DRWorker.
DRT 0054 FlexGC_main.cpp:2458      unsupported branch STACK in checkLef58CutSpacing_spc_layer.
DRT 0055 FlexGC_main.cpp:2462      unsupported branch ORTHOGONALSPACING in 
DRT 0056 FlexGC_main.cpp:2470      unsupported branch SHORTEDGEONLY in 
DRT 0057 FlexGC_main.cpp:2477      unsupported branch WIDTH in checkLef58CutSpacing_spc_layer.
DRT 0058 FlexGC_main.cpp:2482      unsupported branch PARALLEL in checkLef58CutSpacing_spc_layer.
DRT 0059 FlexGC_main.cpp:2487      unsupported branch EDGELENGTH in checkLef58CutSpacing_spc_layer.
DRT 0060 FlexGC_main.cpp:2493      unsupported branch EXTENSION in checkLef58CutSpacing_spc_layer.
DRT 0061 FlexGC_main.cpp:2500      unsupported branch ABOVEWIDTH in checkLef58CutSpacing_spc_layer.
DRT 0062 FlexGC_main.cpp:2505      unsupported branch MASKOVERLAP in checkLef58CutSpacing_spc_layer.
DRT 0063 FlexGC_main.cpp:2510      unsupported branch WRONGDIRECTION in 
DRT 0064 FlexGC_main.cpp:3069      attempting to add patch with no drNet.
DRT 0065 FlexPA_init.cpp:87        instAnalysis unsupported pinFig.
DRT 0066 FlexPA_init.cpp:94        instAnalysis skips {} due to no pin shapes
DRT 0067 FlexPA_prep.cpp:110       FlexPA mergePinShapes unsupported shape.
DRT 0068 FlexPA_prep.cpp:370       prepPoint_pin_genPoints_rect cannot find secondLayerNum.
DRT 0069 FlexPA_init.cpp:241       initPinAccess error.
DRT 0070 FlexPA_prep.cpp:695       unexpected direction in getPlanarEP
DRT 0071 FlexPA_prep.cpp:1114      prepPoint_pin_helper unique2paidx not found.
DRT 0072 FlexPA_prep.cpp:1127      prepPoint_pin_helper unique2paidx not found
DRT 0073 FlexPA_prep.cpp:1208      no ap for {}/{}
DRT 0074 FlexPA_prep.cpp:1214      no ap for PIN/{}
DRT 0075 FlexPA_prep.cpp:1226      prepPoint_pin unique2paidx not found.
DRT 0076 FlexPA_prep.cpp:1283        complete {} pins
DRT 0077 FlexPA_prep.cpp:1287        complete {} pins
DRT 0078 FlexPA_prep.cpp:1316        complete {} pins
DRT 0079 FlexPA_prep.cpp:1351        complete {} unique inst patterns
DRT 0080 FlexPA_prep.cpp:1355        complete {} unique inst patterns
DRT 0081 FlexPA_prep.cpp:1362        complete {} unique inst patterns
DRT 0082 FlexPA_prep.cpp:1425        complete {} groups
DRT 0083 FlexPA_prep.cpp:1429        complete {} groups
DRT 0084 FlexPA_prep.cpp:1436        complete {} groups
DRT 0085 FlexPA_prep.cpp:1591      valid access pattern combination not found.
DRT 0086 FlexPA_prep.cpp:1831      pin does not have access point.
DRT 0087 FlexPA_prep.cpp:1952      no valid pattern for unique instance {}, refBlock is {}
DRT 0088 FlexPA_prep.cpp:1973      {}
DRT 0089 FlexPA_prep.cpp:2040      genPattern_gc objs empty.
DRT 0090 FlexPA_prep.cpp:2284      valid access pattern not found.
DRT 0091 FlexPA_prep.cpp:2341      pin does not have valid ap.
DRT 0092 FlexRP_prep.cpp:874       duplicate diff layer samenet cut spacing, skipping cut 
DRT 0093 FlexRP_prep.cpp:898       duplicate diff layer diffnet cut spacing, skipping 
DRT 0094 io.cpp:79                 cannot find layer: {}
DRT 0095 io.cpp:142                library cell {} not found
DRT 0096 io.cpp:146                same cell name: {}
DRT 0097 io.cpp:223                cannot find cut layer {}
DRT 0098 io.cpp:233                cannot find bottom layer {}
DRT 0099 io.cpp:243                cannot find top layer {}
DRT 0100 io.cpp:327                unsupported via: {}
DRT 0101 io.cpp:329                non-consecutive layers for via: {}
DRT 0102 io.cpp:467                odd dimension in both directions
DRT 0103 io.cpp:496                unknown direction
DRT 0104 io.cpp:519                term {} not found
DRT 0105 io.cpp:532                component {} not found
DRT 0106 io.cpp:538                component pin {}/{} not found
DRT 0107 io.cpp:607                unsupported layer {}
DRT 0108 io.cpp:717                unsupported via in db
DRT 0109 io.cpp:780                unsupported via in db
DRT 0110 io.cpp:810                unsupported NET USE in def
DRT 0111 io.cpp:839                unsupported PIN USE in db
DRT 0112 io.cpp:869                unsupported layer {}
DRT 0113 io.cpp:2743               techlayers for via {} not found in db tech
DRT 0114 io.cpp:2866               unknown connfig type while writing net {}
DRT 0115 FlexPA_graphics.cpp:66    Setting MAX_THREADS=1 for use with the PA GUI.
DRT 0116 io.cpp:894                load design first
DRT 0117 io.cpp:897                load design first
DRT 0118 TritonRoute.tcl:195       -gcell is a list of 2 coordinates.
DRT 0119 FlexPA_graphics.cpp:216   marker {} at ({}, {}) ({}, {})
DRT 0120 io.cpp:1930               unsupported PIN USE in lef
DRT 0121 io.cpp:1946               unsupported term direction {} in lef
DRT 0122 io.cpp:1961               layer {} is skipped for {}/{}
DRT 0123 io.cpp:1993               layer {} is skipped for {}/OBS
DRT 0124 io.cpp:2152               via {} with unused layer {} will be ignored
DRT 0125 io.cpp:2167               unsupported via {}
DRT 0126 io.cpp:2174               non consecutive layers for via {}
DRT 0127 io.cpp:2184               unknown layer {} for via {}
DRT 0128 io.cpp:2035               unsupported viarule {}
DRT 0129 io.cpp:2041               unknown layer {} for viarule {}
DRT 0130 io.cpp:2054               non consecutive layers for viarule {}
DRT 0131 io.cpp:2075               cutLayer cannot have overhangs in viarule {}, 
DRT 0132 io.cpp:2096               botLayer cannot have rect in viarule {}, skipping rect
DRT 0133 io.cpp:2106               topLayer cannot have rect in viarule {}, skipping rect
DRT 0134 io.cpp:2121               botLayer cannot have spacing in viarule {}, skipping spacing
DRT 0135 io.cpp:2131               botLayer cannot have spacing in viarule {}, skipping spacing
DRT 0136 io.cpp:2231               load design first
DRT 0138 io.cpp:1573               new SPACING SAMENET overrides old SPACING SAMENET rule
DRT 0139 io.cpp:1513               minEnclosedArea constraint with width is not supported, skipped
DRT 0140 io.cpp:1545               SpacingRange unsupported
DRT 0141 io.cpp:1547               SpacingLengthThreshold unsupported
DRT 0142 io.cpp:1549               SpacingNotchLength unsupported
DRT 0143 io.cpp:1551               SpacingEndOfNotchWidth unsupported
DRT 0144 io.cpp:1587               new SPACING SAMENET overrides old SPACING SAMENET rule
DRT 0145 io.cpp:1639               new SPACINGTABLE PARALLELRUNLENGTH overrides old SPACING rule
DRT 0146 io.cpp:1667               new SPACINGTABLE TWOWIDTHS overrides old SPACING rule
DRT 0147 io.cpp:1758               cutWithin is smaller than cutSpacing for ADJACENTCUTS on 
DRT 0148 TritonRoute.cpp:267       deprecated lef param in params file
DRT 0149 io.cpp:2245               Reading Tech And Libs
DRT 0150 io.cpp:2261               Reading Design
DRT 0151 io.cpp:2288               Reading Guide
DRT 0152 io.cpp:2322               Error reading guide file!
DRT 0153 io.cpp:2327               cannot find net {}
DRT 0154 io.cpp:2332               cannot find layer {}
DRT 0155 io.cpp:2338               guide in net {} uses layer {} ({})
DRT 0156 io.cpp:2359               guideIn read {} guides
DRT 0157 io.cpp:2363               guideIn read {} guides
DRT 0158 io.cpp:2368               Error reading guide file!
DRT 0159 io.cpp:2373               failed to open guide file
DRT 0160 io_parser_helper.cpp:116  Warning: {} does not have viaDef aligned with layer 
DRT 0161 io.cpp:1260               unsupported LEF58_SPACING rule for layer {} of type MAXXY
DRT 0162 io_pin.cpp:37             libcell analysis ...
DRT 0163 io_pin.cpp:83             instance analysis ...
DRT 0164 io_pin.cpp:139            # unique instances = {}
DRT 0165 FlexPA.cpp:96             start pin access
DRT 0166 FlexPA.cpp:134            complete pin access
DRT 0167 frTechObject.h:258        List of default vias:
DRT 0168 io_parser_helper.cpp:653  Init region query ...
DRT 0169 io_parser_helper.cpp:663  Post process guides ...
DRT 0170 io_parser_helper.cpp:853  no GCELLGRIDX
DRT 0171 io_parser_helper.cpp:858  no GCELLGRIDY
DRT 0172 io_parser_helper.cpp:913  no GCELLGRIDX
DRT 0173 io_parser_helper.cpp:918  no GCELLGRIDY
DRT 0174 io_parser_helper.cpp:943  gcell cnt x < 1
DRT 0175 io_parser_helper.cpp:959  gcell cnt y < 1
DRT 0176 io_parser_helper.cpp:964  GCELLGRID X {} DO {} STEP {} ;
DRT 0177 io_parser_helper.cpp:970  GCELLGRID Y {} DO {} STEP {} ;
DRT 0178 io_parser_helper.cpp:700  init guide query ...
DRT 0179 io_parser_helper.cpp:703  init gr pin query ...
DRT 0180 io.cpp:2718               post processing ...
DRT 0181 FlexTA.cpp:404            start track assignment
DRT 0182 FlexTA.cpp:410            complete track assignment
DRT 0183 FlexTA.cpp:297            Done with {} horizontal wires in {} frboxes and 
DRT 0184 FlexTA.cpp:315            Done with {} vertical wires in {} frboxes and 
DRT 0185 io_parser_helper.cpp:723  post process initialize RPin region query ...
DRT 0186 FlexTA.cpp:386            Done with {} vertical wires in {} frboxes and 
DRT 0187 FlexDR.cpp:1311           start routing data preparation
DRT 0194 FlexDR.cpp:1850           start detail routing ...
DRT 0195 FlexDR.cpp:1413           start {}{} optimization iteration ...
DRT 0198 FlexDR.cpp:2211           complete detail routing
DRT 0199 FlexDR.cpp:1556             number of violations = {}
DRT 0201 FlexGR.cpp:636            design isn't loaded before global routing
DRT 0202 FlexGR.cpp:665            skipping layer {} not found in db for congestion map
DRT 0203 FlexGR.cpp:643            dbGcellGrid already exists in db. Clearing existing dbGCellGrid
DRT 0205 TritonRoute.cpp:277       deprecated output param in params file
DRT 0206 FlexDR_conn.cpp:1272      checkConnectivity error
DRT 0207 FlexDR_graphics.cpp:676   Setting MAX_THREADS=1 for use with the DR GUI.
DRT 0210 io.cpp:1419               layer {} minWidth is larger than width. Using width as minWidth
DRT 0214 io_guide.cpp:639          genGuides empty pin2GCellMap
DRT 0215 io_guide.cpp:647          pin {}/{} not covered by guide
DRT 0216 io_guide.cpp:654          pin PIN/{} not covered by guide
DRT 0217 io_guide.cpp:657          genGuides unknown type
DRT 0218 io_guide.cpp:692          Guide is not connected to design
DRT 0219 io_guide.cpp:695          Guide is not connected to design
DRT 0220 io_guide.cpp:742          genGuides_final error 1
DRT 0221 io_guide.cpp:762          genGuides_final error 2
DRT 0222 io_guide.cpp:769          genGuides_final pin not in any guide
DRT 0223 io_guide.cpp:821          pin dangling id {} ({},{}) {}
DRT 0224 io_guide.cpp:1029         {} {} pin not visited #guides = {}
DRT 0225 io_guide.cpp:1039         {} {} pin not visited, fall back to feedrough mode
DRT 0226 FlexGC_eol.cpp:441        Unsupported endofline spacing rule
DRT 0227 TritonRoute.cpp:269       deprecated def param in params file
DRT 0228 io_guide.cpp:116          genGuides_merge cannot find touching layer
DRT 0229 io_guide.cpp:243          genGuides_split lineIdx is empty on {}
DRT 0230 io_guide.cpp:333          genGuides_gCell2TermMap avoid condition2, may 
DRT 0231 io_guide.cpp:348          genGuides_gCell2TermMap avoid condition3, may 
DRT 0232 io_guide.cpp:360          genGuides_gCell2TermMap unsupoprted pinfig
DRT 0234 io_parser_helper.cpp:75   {} does not have single-cut via
DRT 0235 io_parser_helper.cpp:188  Second layer {} does not exist
DRT 0236 io_parser_helper.cpp:195  Updating diff-net cut spacing rule between {} and {}
DRT 0237 io_parser_helper.cpp:213  Second layer {} does not exist
DRT 0238 io_parser_helper.cpp:220  Updating same-net cut spacing rule between {} and {}
DRT 0239 io_parser_helper.cpp:277  Non-rect shape in via definition
DRT 0240 io_parser_helper.cpp:284  CUT layer {} does not have square single-cut via, 
DRT 0241 io_parser_helper.cpp:291  CUT layer {} does not have single-cut via, cut layer 
DRT 0242 io_parser_helper.cpp:299  CUT layer {} does not have default via
DRT 0243 io_parser_helper.cpp:311  Non-rect shape in via definition
DRT 0244 io_parser_helper.cpp:316  CUT layer {} has smaller width defined in LEF compared 
DRT 0245 io_parser_helper.cpp:708  No output guide specified, skipped writing guide
DRT 0246 io_parser_helper.cpp:755  {}/{} from {} has nullptr as prefAP
DRT 0247 io.cpp:2398               io::Writer::fillConnFigs_net does not support this type
DRT 0248 io_pin.cpp:72             instAnalysis unsupported pinFig
DRT 0249 FlexDR_graphics.cpp:616   Net {} (id = {})
DRT 0250 FlexDR_graphics.cpp:619     Pin {}
DRT 0251 TritonRoute.tcl:64        -param cannot be used with other arguments
DRT 0252 TritonRoute.cpp:252       params file is deprecated. Use tcl arguments.
DRT 0253 FlexGC_init.cpp:157       Design and tech mismatch
DRT 0254 FlexDR_init.cpp:3457      Design and tech mismatch
DRT 0255 FlexDR_maze.cpp:1899      Fatal error: Maze Route cannot find path of net {} in 
DRT 0256 io.cpp:363                Skipping NDR { } because another rule with the same name 
DRT 0257 FlexPA_graphics.cpp:251   marker {} at ({}, {}) ({}, {})
DRT 0258 io.cpp:1254               unsupported LEF58_SPACING rule for layer {} of type AREA
DRT 0259 io.cpp:1267               unsupported LEF58_SPACING rule for layer {} of type SAMEMASK
DRT 0260 io.cpp:1274               unsupported LEF58_SPACING rule for layer {} of type 
DRT 0261 io.cpp:1281               unsupported LEF58_SPACING rule for layer {} of type 
DRT 0262 io.cpp:1288               unsupported LEF58_SPACING rule for layer {} of type 
DRT 0263 io.cpp:1295               unsupported LEF58_SPACING rule for layer {}
DRT 0264 io.cpp:1320               layer {} is not found to layer {} LEF58_SPACINGTABLE
DRT 0265 io.cpp:1007               unsupported LEF58_SPACING rule for layer {}
DRT 0266 TritonRoute.cpp:274       deprecated outputTA param in params file
DRT 0267 frTime.cpp:48             cpu time = {:02}:{:02}:{:02}, 
DRT 0268 FlexTA.cpp:368            Done with {} horizontal wires in {} frboxes and 
DRT 0269 FlexGC_eol.cpp:58         Unsupported endofline spacing rule
DRT 0270 FlexGC_eol.cpp:232        Unsupported endofline spacing rule
DRT 0271 FlexGC_eol.cpp:402        Unsupported endofline spacing rule
DRT 0272 TritonRoute.cpp:155       bottomRoutingLayer {} not found
DRT 0273 TritonRoute.cpp:167       topRoutingLayer {} not found
DRT 0274 TritonRoute.cpp:292       deprecated threads param in params file.
DRT 0275 FlexDR_graphics.cpp:623       AP ({:.5f}, {:.5f}) (layer {}) (cost {})
