GRT 0001 GlobalRouter.cpp:731      Minimum degree: {}
GRT 0043 GlobalRouter.cpp:3106     No OR_DEFAULT vias defined.
GRT 0044 GlobalRouter.tcl:61       set_global_routing_layer_adjustment: Wrong number of arguments.
GRT 0046 GlobalRouter.tcl:74       set_pdrev_topology_priority: Wrong number of arguments.
GRT 0047 GlobalRouter.tcl:88       missing dbTech.
GRT 0048 GlobalRouter.tcl:96       set_global_routing_region_adjustment: Missing layer.
GRT 0049 GlobalRouter.tcl:102      set_global_routing_region_adjustment: Missing adjustment.
GRT 0050 GlobalRouter.tcl:125      set_global_routing_region_adjustment: Wrong number of arguments to define a region.
GRT 0051 GlobalRouter.tcl:202      missing dbTech.
GRT 0052 GlobalRouter.tcl:206      missing dbBlock.
GRT 0053 GlobalRouter.cpp:3181     Routing resources analysis:
GRT 0055 GlobalRouter.tcl:222      Wrong number of arguments for origin.
GRT 0056 GlobalRouter.tcl:386      -clock_layers: Min routing layer is greater than max routing layer.
GRT 0057 GlobalRouter.tcl:372      missing track structure.
GRT 0058 GlobalRouter.tcl:273      run global_route before estimating parasitics for global routing.
GRT 0059 GlobalRouter.tcl:279      no technology has been read.
GRT 0060 GlobalRouter.tcl:291      layer [$tech_layer getConstName] is greater than the max routing layer ([$max_tech_layer getConstName]).
GRT 0061 GlobalRouter.tcl:294      layer [$tech_layer getConstName] is lesser than the min routing layer ([$min_tech_layer getConstName]).
GRT 0062 GlobalRouter.tcl:320      Input format to define layer range for $cmd is min-max.
GRT 0063 GlobalRouter.tcl:327      missing dbBlock.
GRT 0064 GlobalRouter.tcl:333      Lower left x is outside die area.
GRT 0065 GlobalRouter.tcl:337      Lower left y is outside die area.
GRT 0066 GlobalRouter.tcl:341      Upper right x is outside die area.
GRT 0067 GlobalRouter.tcl:345      Upper right y is outside die area.
GRT 0068 AntennaRepair.cpp:88      Global route segment not valid.
GRT 0069 GlobalRouter.cpp:276      liberty port for {}/{} not found.
GRT 0070 GlobalRouter.cpp:564      Invalid segment for net {}.
GRT 0071 GlobalRouter.cpp:804      Layer spacing not found.
GRT 0072 GlobalRouter.cpp:1088     Informed region is outside die area.
GRT 0073 GlobalRouter.cpp:1360     Guides file could not be opened.
GRT 0074 GlobalRouter.cpp:1403     Routing with guides in blocked metal for net {}.
GRT 0075 GlobalRouter.cpp:1412     Connection between non-adjacent layers in net {}.
GRT 0076 GlobalRouter.cpp:1498     Net {} not properly covered.
GRT 0077 GlobalRouter.cpp:1573     Segment has invalid layer assignment.
GRT 0078 GlobalRouter.cpp:1637     Guides vector is empty.
GRT 0079 GlobalRouter.cpp:1707     Pin {} does not have layer assignment.
GRT 0080 GlobalRouter.cpp:1730     Invalid pin placement.
GRT 0081 GlobalRouter.cpp:2086     Layer {} not found.
GRT 0082 GlobalRouter.cpp:2092     Track for layer {} not found.
GRT 0083 GlobalRouter.cpp:2110     Layer {} does not have valid direction.
GRT 0084 GlobalRouter.cpp:2180     Layer {} does not have valid direction.
GRT 0085 GlobalRouter.cpp:2331     Routing layer {} not found.
GRT 0086 GlobalRouter.cpp:2337     Track for layer {} not found.
GRT 0087 GlobalRouter.cpp:2366     Layer {} does not have valid direction.
GRT 0088 GlobalRouter.cpp:2378     Layer {:7s} Track-Pitch = {:.4f}  line-2-Via Pitch: {:.4f}
GRT 0089 GlobalRouter.cpp:2428     Layer {} does not have valid direction.
GRT 0090 GlobalRouter.cpp:2454     Track for layer {} not found.
GRT 0091 GlobalRouter.cpp:2467     Layer {} does not have valid direction.
GRT 0092 GlobalRouter.cpp:2487     Design without nets.
GRT 0093 GlobalRouter.cpp:2750     Pin {} does not have layer assignment.
GRT 0094 GlobalRouter.cpp:2994     Design without nets.
GRT 0095 GlobalRouter.cpp:3070     Layer {} not found.
GRT 0096 GlobalRouter.cpp:3234     Final congestion report:
GRT 0097 FastRoute.cpp:1011        First L Route.
GRT 0098 FastRoute.cpp:1016        Second L Route.
GRT 0099 FastRoute.cpp:1022        First Z Route.
GRT 0100 FastRoute.cpp:1047        LV routing round {}, enlarge {}.
GRT 0101 FastRoute.cpp:1078        Running extra iterations to remove overflow.
GRT 0102 FastRoute.cpp:1158        iteration {}, enlarge {}, costheight {},
GRT 0103 FastRoute.cpp:1201        Extra Run for hard benchmark.
GRT 0104 FastRoute.cpp:1307        minimal ofl {}, occuring at round {}.
GRT 0105 FastRoute.cpp:1316        Maze routing finished.
GRT 0106 FastRoute.cpp:1327        Layer Assignment Begins.
GRT 0107 FastRoute.cpp:1330        Layer assignment finished.
GRT 0108 FastRoute.cpp:1348        Post Processing Begins.
GRT 0109 FastRoute.cpp:1356        Post Processsing finished.
 Starting via filling.
GRT 0111 FastRoute.cpp:1366        Final number of vias: {}
GRT 0112 FastRoute.cpp:1367        Final usage 3D: {}
GRT 0113 FastRoute.cpp:702         Underflow in reduce: cap, reducedCap: {}, {}
GRT 0114 FastRoute.cpp:729         Underflow in reduce: cap, reducedCap: {}, {}
GRT 0115 FastRoute.cpp:1303        Global routing finished with overflow.
GRT 0118 FastRoute.cpp:1299        Routing congestion too high.
GRT 0119 RipUp.cpp:229             MAZE RIPUP WRONG in newRipup.
GRT 0120 RipUp.cpp:328             type2 ripup not type L.
GRT 0121 RipUp.cpp:394             route type is not maze, netID {}.
GRT 0122 RipUp.cpp:521             Maze RipUp wrong.
GRT 0123 RipUp.cpp:623             MAZE RIPUP WRONG in newRipupNet for net {}.
GRT 0124 maze.cpp:304              Update congestion history type {}.
GRT 0125 maze.cpp:602              Setup Heap: not maze routing.
GRT 0126 maze.cpp:1898             Overflow Report:
GRT 0127 maze.cpp:1899             total Usage   : {}
GRT 0128 maze.cpp:1900             Max H Overflow: {}
GRT 0129 maze.cpp:1901             Max V Overflow: {}
GRT 0130 maze.cpp:1902             Max Overflow  : {}
GRT 0131 maze.cpp:1903             Num Overflow e: {}
GRT 0132 maze.cpp:1904             H   Overflow  : {}
GRT 0133 maze.cpp:1905             V   Overflow  : {}
GRT 0134 maze.cpp:1906             Final Overflow: {}

GRT 0135 maze.cpp:1975             Overflow Report:
GRT 0136 maze.cpp:1976             Total hCap    : {}
GRT 0137 maze.cpp:1977             Total vCap    : {}
GRT 0138 maze.cpp:1978             Total Usage   : {}
GRT 0139 maze.cpp:1979             Max H Overflow: {}
GRT 0140 maze.cpp:1980             Max V Overflow: {}
GRT 0141 maze.cpp:1981             Max Overflow  : {}
GRT 0142 maze.cpp:1982             Num Overflow e: {}
GRT 0143 maze.cpp:1983             H   Overflow  : {}
GRT 0144 maze.cpp:1984             V   Overflow  : {}
GRT 0145 maze.cpp:1985             Final Overflow: {}

GRT 0164 utility.cpp:1441          initial grid wrong y1 x1 [{} {}] , net start [{} {}] routelen
GRT 0165 utility.cpp:1451          end grid wrong y2 x2 [{} {}] , net start [{} {}] routelen {}.
GRT 0166 utility.cpp:1463          net {} edge[{}] maze route wrong, distance {}, i {}.
GRT 0167 utility.cpp:1474          checking failed {}.
GRT 0168 utility.cpp:1493          Error in opening {}.
GRT 0169 maze.cpp:807              Invalid index for position ({}, {}).
GRT 0170 maze.cpp:985              Invalid index for position ({}, {}).
GRT 0171 maze3D.cpp:519            Invalid index for position ({}, {}).
GRT 0172 maze3D.cpp:837            Invalid index for position ({}, {}).
GRT 0173 maze3D.cpp:1830           Invalid lower neighbour for node {}.
GRT 0174 maze3D.cpp:1833           Invalid upper neighbour for node {}.
GRT 0179 route.cpp:400             Wrong node status {}.
GRT 0181 route.cpp:1304            Wrong node status {}.
GRT 0182 route.cpp:1857            {} threshold, {} expand.
GRT 0183 maze3D.cpp:109            Heap underflow.
GRT 0184 maze3D.cpp:816            Shift to 0 length edge, type2.
GRT 0185 maze3D.cpp:1844           Bottom layer acutally {}.
GRT 0186 maze3D.cpp:1851           Steiner nodes only have one connection.
GRT 0187 maze3D.cpp:506            In 3D maze routing, type 1 node shift, cnt_n1A1 is 1.
GRT 0188 RSMT.cpp:229              Invalid number of node neighbours.
GRT 0189 RSMT.cpp:232              Fail in copy tree. Num edges: {}, num nodes: {}, edgecnt, numnodes.
GRT 0190 RSMT.cpp:873              Net degree differs from rsmt degree.
GRT 0191 RSMT.cpp:926              WIRELEN : {}, WIRELEN1 : {}
GRT 0192 RSMT.cpp:927              NumSeg  : {}
GRT 0193 RSMT.cpp:928              NumShift: {}
GRT 0194 utility.cpp:87            Fail when open file plottree.
GRT 0195 utility.cpp:184           Invalid route type.
GRT 0196 utility.cpp:189           Routed len: {}
GRT 0197 utility.cpp:406           Via related to pin nodes: {}
GRT 0198 utility.cpp:407           Via related stiner nodes: {}
GRT 0199 utility.cpp:408           Via filling finished.
GRT 0200 utility.cpp:493           Start point not assigned.
GRT 0201 maze.cpp:688              Setup Heap: not maze routing.
GRT 0202 utility.cpp:604           Target ending layer ({}) out of range.
GRT 0203 utility.cpp:1016          Causing pin node floating.
GRT 0204 utility.cpp:1077          Invalid layer value in gridsL, {}.
GRT 0205 utility.cpp:1097          Error in opening output.out.
GRT 0206 utility.cpp:1204          trying to recover an 0 length edge.
GRT 0207 utility.cpp:1428          rip upped edge without edge len re assignment.
GRT 0208 utility.cpp:1434          .routelen {} len {}.
GRT 0209 GlobalRouter.cpp:1188     Ignoring an obstruction on layer {} outside the die area.
GRT 0211 FastRoute.cpp:922         dbGcellGrid already exists in db. Clearing existing dbGCellGrid
GRT 0212 FastRoute.cpp:647         Cannot get edge resource: edge is not vertical or horizontal.
GRT 0213 FastRoute.cpp:672         Cannot get edge usage: edge is not vertical or horizontal.
GRT 0214 FastRoute.cpp:771         Cannot get edge capacity: edge is not vertical or horizontal.
GRT 0215 FastRoute.cpp:931         skipping layer {} not found in db
GRT 0219 GlobalRouter.tcl:154      set_macro_extension: Wrong number of arguments.
GRT 0220 GlobalRouter.cpp:1466     Routing layer of index {} not found.
GRT 0221 AntennaRepair.cpp:127     Cannot create wire for net {}.
GRT 0222 GlobalRouter.tcl:300      no technology has been read.
GRT 0223 GlobalRouter.tcl:352      missing dbBlock.
GRT 0224 GlobalRouter.cpp:3119     Chose via {} as default.
